"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","jlc-part-type","LCSC#","Value2"
"1","Unpolarized capacitor","C","C24","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","","",""
"2","Unpolarized capacitor","C","C17","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","","",""
"3","Unpolarized capacitor","C","C18","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","","",""
"4","Unpolarized capacitor","C","C20,C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","~","","",""
"5","Unpolarized capacitor","C","C23","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","","","16V"
"6","Unpolarized capacitor","C","C19","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","","","10v"
"7","Polarized capacitor","C_Polarized","C7,C8,C9,C10,C11,C12,C13,C14,C15,C16","47u","CP_Radial_D16.0mm_P7.50mm","10"," ","~","","","400v"
"8","Polarized capacitor","C_Polarized","C21","100u","CP_Elec_10x10","1"," ","~","","","16v"
"9","Polarized capacitor","C_Polarized","C1,C2","220u","CP_Radial_D30.0mm_P10.00mm_SnapIn","2"," ","~","","","400v"
"10","Polarized capacitor","C_Polarized","C3,C4,C5,C6","470u","CP_Radial_D24.0mm_P10.00mm_SnapIn","4"," ","~","","","200v"
"11","Unpolarized capacitor","C","CX1,CX2","470n","C_Rect_L19.0mm_W9.0mm_P15.00mm_MKS4","2"," ","https://datasheet.lcsc.com/lcsc/C5454415.pdf","","C5454415","250V~"
"12","Unpolarized capacitor","C","CY1,CY2","2n2","C_Disc_D9.0mm_W5.0mm_P7.50mm","2"," ","https://datasheet.lcsc.com/lcsc/C5355118.pdf","","C5355118","250V~"
"13","Silicon Bridge Rectifier, 40V Vrms, 1.5A If, pins=-AA+, SIL-package","B40C2300-1500A","D3","GBU1010","Diode_Bridge_19.0x3.5x10.0mm_P5.0mm","1"," ","https://datasheet.lcsc.com/lcsc/2208121800_SEP-GBU1010_C5127096.pdf","","C5127096",""
"14","Dual diode, common anode on pin 1","D_Dual_CommonCathode_AKA_Parallel","D8,D9","MURF1040GCT","TO-220-3_Horizontal_TabUp","2"," ","https://datasheet.lcsc.com/lcsc/2205111516_DIYI-Elec-Tech-MURF1040GCT-H_C2995510.pdf","","C2995510",""
"15","1000V 3A Soft Recovery Ultrafast Rectifier Diode, DO-201AD","UF5408","D6","S2M","D_SMA_Handsoldering","1"," ","https://datasheet.lcsc.com/lcsc/1811101212_Shandong-Jingdao-Microelectronics-S2M_C116114.pdf","","","400V"
"16","1000V 3A General Purpose Rectifier Diode, DO-201AD","1N5408","D7,D10","UF5408","D_DO-201AD_P15.24mm_Horizontal","2"," ","https://datasheet.lcsc.com/lcsc/1912111437_SUNMATE-Elec-UF5408_C424502.pdf","","",""
"17","1000V 3A General Purpose Rectifier Diode, DO-201AD","1N5408","D1,D2,D4,D5","~","D_DO-201AD_P15.24mm_Horizontal","4"," ","~","","",""
"18","Fuse","Fuse","F1","5A","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","1"," ","https://datasheet.lcsc.com/lcsc/C717030.pdf","","C717030",""
"19","EMI 2-inductor common mode filter","Filter_EMI_CommonMode","FL1","EMI","L_CommonMode_Toroid_Vertical_L34.3mm_W20.3mm_Px15.24mm_Py22.86mm_Bourns_8100","1"," ","https://datasheet.lcsc.com/lcsc/2201121530_PROD-Tech-PDUUAT105-202MLN_C2932158.pdf","","C2932158",""
"20","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Screw_Terminal_01x02","J2","12V","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1"," ","~","","",""
"21","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Screw_Terminal_01x03","J1,J4","AC","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","2"," ","~","","",""
"22","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x03","J3","FAN","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","1"," ","~","","",""
"23","Inductor with iron core","L_Iron","L1","PFC","JWT_A3963_1x02_P3.96mm_Vertical","1"," ","~","","",""
"24","Compact AC/DC board mount power module 3W 5V","HLK-PM01","PS1","PSU 12V 1A","Converter_ACDC_HiLink_HLK-PMxx","1"," ","http://www.hlktech.net/product_detail.php?ProId=54","","",""
"25","NPN transistor, base/emitter/collector","Q_NPN_BEC","Q1","13001","SOT-23","1"," ","https://datasheet.lcsc.com/lcsc/2212161630_HXY-MOSFET-13001_C5261071.pdf","","C5261071","400V"
"26","10A Id, 400V Vds, N-Channel Power MOSFET, 500mOhm Rds, TO-220AB","IRF740","Q4,Q5","IRF740","TO-220-3_Horizontal_TabUp","2"," ","https://datasheet.lcsc.com/lcsc/2203231030_Minos-IRF740_C2980280.pdf","","C2980280",""
"27","NPN transistor, base/emitter/collector","Q_NPN_BEC","Q2","S8050","SOT-23","1"," ","https://datasheet.lcsc.com/lcsc/2304140030_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--S8050_C105433.pdf","","",""
"28","PNP transistor, base/emitter/collector","Q_PNP_BEC","Q3","S8550","SOT-23","1"," ","https://datasheet.lcsc.com/lcsc/2205061000_Guangdong-Hottech-S8550_C181159.pdf","","",""
"29","Resistor","R","R24,R25,R26,R27,R28","0R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5"," ","~","","",""
"30","Resistor","R","R19,R21,R22","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3"," ","~","","",""
"31","Resistor","R","R11,R15,R16,R17,R18,R23","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6"," ","~","","",""
"32","Resistor","R","R10","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","","",""
"33","Resistor","R","R12,R20","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"," ","~","","",""
"34","Resistor","R","R13,R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"," ","~","","",""
"35","Resistor","R","R9","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","","",""
"36","Resistor","R","R1,R2,R3,R4,R5,R6,R7,R8","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8"," ","~","","",""
"37","Trim-potentiometer","R_Potentiometer_Trim","RV2","4k7","Potentiometer_Bourns_3296W_Vertical","1"," ","~","","",""
"38","Voltage dependent resistor","Varistor","RV1","10D431K","RV_Disc_D12mm_W5.4mm_P7.5mm","1"," ","https://datasheet.lcsc.com/lcsc/2304140030_COV-10D431K_C317794.pdf","","C317794",""
"39","Single Pole Single Throw (SPST) switch, temperature dependent","SW_SPST_Temperature","SW1","50C NC","TO-220-2_Horizontal_TabUp","1"," ","~","","",""
"40","Single Pole Single Throw (SPST) switch, temperature dependent","SW_SPST_Temperature","SW2","85C","TO-220-2_Horizontal_TabUp","1"," ","~","","",""
"41","Flash symbol, small","SYM_Flash_Small","SYM1","SYM_Flash_Small","qr","1"," ","~","","",""
"42","Temperature dependent resistor, negative temperature coefficient","Thermistor_NTC","TH1,TH2","5D-15","C_Disc_D12.5mm_W5.0mm_P7.50mm","2"," ","https://datasheet.lcsc.com/lcsc/C2839620.pdf","","C2839620",""
"43","DC Optocoupler, Vce 35V, CTR 50%, DIP-4","LTV-817M","U1","LTV-817M","DIP-4_W10.16mm","1"," ","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF","","C109226",""
"44","Current-Mode PWM Controllers, 50% Duty Cycle, 8.4V/7.6V UVLO, PDIP-8","UC3845_DIP8","U2","UC3845B","DIP-8_W7.62mm","1"," ","https://datasheet.lcsc.com/lcsc/2007031829_UMW-Youtai-Semiconductor-Co---Ltd--UC3845B_C347460.pdf","","C347460",""
