"Quantity","LCSC Part Number","Value","Footprint"
"2","C5454415","470n","C_Rect_L19.0mm_W9.0mm_P15.00mm_MKS4"
"2","C5355118","2n2","C_Disc_D9.0mm_W5.0mm_P7.50mm"
"1","C5127096","GBU1010","Diode_Bridge_19.0x3.5x10.0mm_P5.0mm"
"2","C2995510","MURF1040GCT","TO-220-3_Horizontal_TabUp"
"1","C717030","5A","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open"
"1","C2932158","EMI","L_CommonMode_Toroid_Vertical_L34.3mm_W20.3mm_Px15.24mm_Py22.86mm_Bourns_8100"
"1","C5261071","13001","SOT-23"
"2","C2980280","IRF740","TO-220-3_Horizontal_TabUp"
"1","C317794","10D431K","RV_Disc_D12mm_W5.4mm_P7.5mm"
"2","C2839620","5D-15","C_Disc_D12.5mm_W5.0mm_P7.50mm"
"1","C109226","LTV-817M","DIP-4_W10.16mm"
"1","C347460","UC3845B","DIP-8_W7.62mm"
